pin,slack
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/un11_cmp_cry_16:B,90806
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/un11_cmp_cry_16:FCI,90487
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/un11_cmp_cry_16:FCO,90487
led7_obuf/U0/U_IOPAD:D,
led7_obuf/U0/U_IOPAD:E,
led7_obuf/U0/U_IOPAD:PAD,
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/addsub_res_cry_9:A,92200
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/addsub_res_cry_9:B,93443
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/addsub_res_cry_9:C,93616
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/addsub_res_cry_9:D,93041
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/addsub_res_cry_9:FCI,91600
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/addsub_res_cry_9:FCO,91600
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_alu_inst/addsub_res_cry_9:S,93065
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_sysinfo_inst_true.neorv32_sysinfo_inst/sysinfo_0_write.sysinfo_0[29]:ALn,46834
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_sysinfo_inst_true.neorv32_sysinfo_inst/sysinfo_0_write.sysinfo_0[29]:CLK,92869
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_sysinfo_inst_true.neorv32_sysinfo_inst/sysinfo_0_write.sysinfo_0[29]:D,98621
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_sysinfo_inst_true.neorv32_sysinfo_inst/sysinfo_0_write.sysinfo_0[29]:EN,84022
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/io_system.neorv32_sysinfo_inst_true.neorv32_sysinfo_inst/sysinfo_0_write.sysinfo_0[29]:Q,92869
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/mar[15]:ALn,46834
neorv32_ProcessorTop_MinimalBoot_0/neorv32_inst/core_complex.neorv32_cpu_inst/neorv32_cpu_lsu_inst/mar[15]:CLK,90662
